tournament,matches,accuracy,log_loss,brier,ece,away_brier,draw_brier,home_brier,actual_draw_share,predicted_draw_share
FIFA World Cup 2014,64,0.65625,0.9086572349254847,0.5337777269162631,0.11755355803286076,0.1769546245215467,0.15637221941104684,0.20045088298366964,0.203125,0.21016344386507285
FIFA World Cup 2018,64,0.5625,0.9806300167968938,0.5796055000300755,0.11559657032559245,0.20279366580058258,0.16849423079621723,0.20831760343327557,0.203125,0.2268143973069595
FIFA World Cup 2022,64,0.53125,1.0241155668336617,0.5955013387314859,0.10870411906077286,0.20200890043005557,0.1751729983229893,0.218319439978441,0.234375,0.20512316574156197
