model,matches,accuracy,log_loss,brier,ece,away_brier,draw_brier,home_brier,actual_draw_share,predicted_draw_share
Итоговый ансамбль,1596,0.6040100250626567,0.8568353678252123,0.5019966607093777,0.03113626435269723,0.15182169999375353,0.16733732365603726,0.1828376370595874,0.224937343358396,0.25503394642871746
Машинное обучение,1596,0.5977443609022557,0.8568727125949166,0.5018528886344747,0.024435746929405897,0.15060079486968492,0.16804080414289338,0.1832112896218965,0.224937343358396,0.2339454912499872
Dixon–Coles,1596,0.5939849624060151,0.8893202838619191,0.522267834900284,0.03525764599299009,0.16102041427028296,0.16859973302766634,0.19264768760233442,0.224937343358396,0.2400301640481823
Elo,1596,0.5983709273182958,0.9009490430254591,0.5282541251052125,0.05212579649258533,0.15983186672444566,0.17247649823567324,0.1959457601450937,0.224937343358396,0.2464103884765797
FIFA,1596,0.5664160401002506,0.9077796427683601,0.5330161212883135,0.06805448554420533,0.16102057121974053,0.17375878874595535,0.1982367613226183,0.224937343358396,0.23906765007757474
Последние матчи,1596,0.5169172932330827,1.0475174933650961,0.6208311137554096,0.07294907593350881,0.20564364334275123,0.1751304919149784,0.24005697849767946,0.224937343358396,0.20728471227509304
Всегда первая команда,1596,0.4805764411027569,1.086954979366549,0.6534591478696741,0.07632414369256478,0.22087117794485925,0.174968671679198,0.25761929824562346,0.224937343358396,0.25
