team,points,rank,date,source
France,1877.32,1,2026-06-13,FIFA ranking mirror
Spain,1876.4,2,2026-06-13,FIFA ranking mirror
Argentina,1874.81,3,2026-06-13,FIFA ranking mirror
England,1825.97,4,2026-06-13,FIFA ranking mirror
Portugal,1763.83,5,2026-06-13,FIFA ranking mirror
Brazil,1761.16,6,2026-06-13,FIFA ranking mirror
Netherlands,1757.87,7,2026-06-13,FIFA ranking mirror
Morocco,1755.87,8,2026-06-13,FIFA ranking mirror
Belgium,1734.71,9,2026-06-13,FIFA ranking mirror
Germany,1730.37,10,2026-06-13,FIFA ranking mirror
Croatia,1717.07,11,2026-06-13,FIFA ranking mirror
Italy,1700.37,12,2026-06-13,FIFA ranking mirror
Colombia,1693.09,13,2026-06-13,FIFA ranking mirror
Senegal,1688.99,14,2026-06-13,FIFA ranking mirror
Mexico,1681.03,15,2026-06-13,FIFA ranking mirror
United States,1673.13,16,2026-06-13,FIFA ranking mirror
Uruguay,1673.07,17,2026-06-13,FIFA ranking mirror
Japan,1660.43,18,2026-06-13,FIFA ranking mirror
Switzerland,1649.4,19,2026-06-13,FIFA ranking mirror
Denmark,1620.81,20,2026-06-13,FIFA ranking mirror
Iran,1615.3,21,2026-06-13,FIFA ranking mirror
Turkey,1599.04,22,2026-06-13,FIFA ranking mirror
Ecuador,1594.78,23,2026-06-13,FIFA ranking mirror
Austria,1593.45,24,2026-06-13,FIFA ranking mirror
South Korea,1588.66,25,2026-06-13,FIFA ranking mirror
Nigeria,1585.09,26,2026-06-13,FIFA ranking mirror
Australia,1580.67,27,2026-06-13,FIFA ranking mirror
Algeria,1564.26,28,2026-06-13,FIFA ranking mirror
Egypt,1563.24,29,2026-06-13,FIFA ranking mirror
Canada,1556.48,30,2026-06-13,FIFA ranking mirror
Norway,1550.94,31,2026-06-13,FIFA ranking mirror
Ukraine,1546.88,32,2026-06-13,FIFA ranking mirror
Panama,1540.64,33,2026-06-13,FIFA ranking mirror
Ivory Coast,1532.98,34,2026-06-13,FIFA ranking mirror
Poland,1528.0,35,2026-06-13,FIFA ranking mirror
Russia,1525.6,36,2026-06-13,FIFA ranking mirror
Wales,1524.29,37,2026-06-13,FIFA ranking mirror
