team,points,rank,date,source
Sweden,1514.77,38,2026-06-13,FIFA ranking mirror
Serbia,1508.65,39,2026-06-13,FIFA ranking mirror
Paraguay,1503.5,40,2026-06-13,FIFA ranking mirror
Czech Republic,1501.38,41,2026-06-13,FIFA ranking mirror
Hungary,1500.58,42,2026-06-13,FIFA ranking mirror
Scotland,1498.35,43,2026-06-13,FIFA ranking mirror
Tunisia,1483.05,44,2026-06-13,FIFA ranking mirror
Cameroon,1481.24,45,2026-06-13,FIFA ranking mirror
DR Congo,1478.35,46,2026-06-13,FIFA ranking mirror
Greece,1475.82,47,2026-06-13,FIFA ranking mirror
Slovakia,1473.94,48,2026-06-13,FIFA ranking mirror
Venezuela,1468.05,49,2026-06-13,FIFA ranking mirror
Uzbekistan,1465.34,50,2026-06-13,FIFA ranking mirror
Costa Rica,1459.9,51,2026-06-13,FIFA ranking mirror
Mali,1459.13,52,2026-06-13,FIFA ranking mirror
Peru,1455.87,53,2026-06-13,FIFA ranking mirror
Chile,1455.28,54,2026-06-13,FIFA ranking mirror
Qatar,1454.96,55,2026-06-13,FIFA ranking mirror
Romania,1451.16,56,2026-06-13,FIFA ranking mirror
Iraq,1447.14,57,2026-06-13,FIFA ranking mirror
Slovenia,1446.44,58,2026-06-13,FIFA ranking mirror
Republic of Ireland,1436.63,59,2026-06-13,FIFA ranking mirror
South Africa,1429.73,60,2026-06-13,FIFA ranking mirror
Saudi Arabia,1421.43,61,2026-06-13,FIFA ranking mirror
Burkina Faso,1412.49,62,2026-06-13,FIFA ranking mirror
Jordan,1391.45,63,2026-06-13,FIFA ranking mirror
Albania,1388.06,64,2026-06-13,FIFA ranking mirror
Bosnia and Herzegovina,1385.84,65,2026-06-13,FIFA ranking mirror
Honduras,1380.27,66,2026-06-13,FIFA ranking mirror
North Macedonia,1372.04,67,2026-06-13,FIFA ranking mirror
United Arab Emirates,1370.47,68,2026-06-13,FIFA ranking mirror
Cape Verde,1366.13,69,2026-06-13,FIFA ranking mirror
Northern Ireland,1362.16,70,2026-06-13,FIFA ranking mirror
Jamaica,1358.0,71,2026-06-13,FIFA ranking mirror
Georgia,1350.18,72,2026-06-13,FIFA ranking mirror
Finland,1346.41,73,2026-06-13,FIFA ranking mirror
Ghana,1346.31,74,2026-06-13,FIFA ranking mirror
Iceland,1345.07,75,2026-06-13,FIFA ranking mirror
Bolivia,1329.42,76,2026-06-13,FIFA ranking mirror
Israel,1328.33,77,2026-06-13,FIFA ranking mirror
Kosovo,1318.83,78,2026-06-13,FIFA ranking mirror
Oman,1313.46,79,2026-06-13,FIFA ranking mirror
Guinea,1300.01,80,2026-06-13,FIFA ranking mirror
Montenegro,1295.52,81,2026-06-13,FIFA ranking mirror
Curaçao,1294.65,82,2026-06-13,FIFA ranking mirror
Haiti,1291.71,83,2026-06-13,FIFA ranking mirror
Syria,1288.56,84,2026-06-13,FIFA ranking mirror
New Zealand,1281.57,85,2026-06-13,FIFA ranking mirror
Bulgaria,1278.9,86,2026-06-13,FIFA ranking mirror
Gabon,1272.51,87,2026-06-13,FIFA ranking mirror
Uganda,1264.09,88,2026-06-13,FIFA ranking mirror
Angola,1263.1,89,2026-06-13,FIFA ranking mirror
Benin,1258.98,90,2026-06-13,FIFA ranking mirror
Bahrain,1258.53,91,2026-06-13,FIFA ranking mirror
Zambia,1255.82,92,2026-06-13,FIFA ranking mirror
Thailand,1252.14,93,2026-06-13,FIFA ranking mirror
China PR,1251.6,94,2026-06-13,FIFA ranking mirror
Palestine,1244.73,95,2026-06-13,FIFA ranking mirror
Guatemala,1243.47,96,2026-06-13,FIFA ranking mirror
Belarus,1235.82,97,2026-06-13,FIFA ranking mirror
Luxembourg,1227.77,98,2026-06-13,FIFA ranking mirror
Vietnam,1225.68,99,2026-06-13,FIFA ranking mirror
El Salvador,1225.26,100,2026-06-13,FIFA ranking mirror
Mozambique,1224.31,101,2026-06-13,FIFA ranking mirror
Trinidad and Tobago,1222.94,102,2026-06-13,FIFA ranking mirror
Tajikistan,1221.78,103,2026-06-13,FIFA ranking mirror
Madagascar,1203.76,104,2026-06-13,FIFA ranking mirror
Equatorial Guinea,1195.2,105,2026-06-13,FIFA ranking mirror
Armenia,1191.42,106,2026-06-13,FIFA ranking mirror
Kyrgyz Republic,1191.14,107,2026-06-13,FIFA ranking mirror
Lebanon,1187.96,108,2026-06-13,FIFA ranking mirror
Comoros,1187.91,109,2026-06-13,FIFA ranking mirror
Kazakhstan,1182.96,110,2026-06-13,FIFA ranking mirror
Kenya,1182.23,111,2026-06-13,FIFA ranking mirror
Libya,1182.08,112,2026-06-13,FIFA ranking mirror
Tanzania,1180.27,113,2026-06-13,FIFA ranking mirror
Niger,1179.66,114,2026-06-13,FIFA ranking mirror
Mauritania,1170.72,115,2026-06-13,FIFA ranking mirror
The Gambia,1160.38,116,2026-06-13,FIFA ranking mirror
Sudan,1157.22,117,2026-06-13,FIFA ranking mirror
Korea DPR,1151.05,118,2026-06-13,FIFA ranking mirror
Sierra Leone,1148.98,119,2026-06-13,FIFA ranking mirror
Namibia,1148.84,120,2026-06-13,FIFA ranking mirror
Togo,1147.31,121,2026-06-13,FIFA ranking mirror
Indonesia,1144.88,122,2026-06-13,FIFA ranking mirror
Faroe Islands,1137.14,123,2026-06-13,FIFA ranking mirror
Azerbaijan,1136.67,124,2026-06-13,FIFA ranking mirror
Suriname,1132.43,125,2026-06-13,FIFA ranking mirror
Cyprus,1128.33,126,2026-06-13,FIFA ranking mirror
Malawi,1128.03,127,2026-06-13,FIFA ranking mirror
Rwanda,1126.62,128,2026-06-13,FIFA ranking mirror
Estonia,1121.1,129,2026-06-13,FIFA ranking mirror
Zimbabwe,1118.12,130,2026-06-13,FIFA ranking mirror
Nicaragua,1115.13,131,2026-06-13,FIFA ranking mirror
Guinea-Bissau,1108.38,132,2026-06-13,FIFA ranking mirror
Congo,1105.96,133,2026-06-13,FIFA ranking mirror
Kuwait,1105.1,134,2026-06-13,FIFA ranking mirror
Philippines,1094.1,135,2026-06-13,FIFA ranking mirror
India,1091.03,136,2026-06-13,FIFA ranking mirror
Latvia,1090.57,137,2026-06-13,FIFA ranking mirror
Malaysia,1086.22,138,2026-06-13,FIFA ranking mirror
Central African Republic,1083.57,139,2026-06-13,FIFA ranking mirror
Liberia,1079.02,140,2026-06-13,FIFA ranking mirror
Turkmenistan,1078.65,141,2026-06-13,FIFA ranking mirror
Burundi,1078.01,142,2026-06-13,FIFA ranking mirror
Dominican Republic,1077.95,143,2026-06-13,FIFA ranking mirror
Ethiopia,1071.55,144,2026-06-13,FIFA ranking mirror
Lesotho,1067.13,145,2026-06-13,FIFA ranking mirror
Botswana,1063.63,146,2026-06-13,FIFA ranking mirror
Singapore,1059.53,147,2026-06-13,FIFA ranking mirror
Lithuania,1058.42,148,2026-06-13,FIFA ranking mirror
Yemen,1049.49,149,2026-06-13,FIFA ranking mirror
Guyana,1049.32,150,2026-06-13,FIFA ranking mirror
New Caledonia,1036.95,151,2026-06-13,FIFA ranking mirror
St Kitts and Nevis,1036.33,152,2026-06-13,FIFA ranking mirror
Solomon Islands,1031.89,153,2026-06-13,FIFA ranking mirror
Fiji,1029.7,154,2026-06-13,FIFA ranking mirror
"Hong Kong, China",1026.63,155,2026-06-13,FIFA ranking mirror
Puerto Rico,1026.11,156,2026-06-13,FIFA ranking mirror
Tahiti,1019.04,157,2026-06-13,FIFA ranking mirror
Myanmar,1011.88,158,2026-06-13,FIFA ranking mirror
Moldova,1004.16,159,2026-06-13,FIFA ranking mirror
Vanuatu,997.01,160,2026-06-13,FIFA ranking mirror
Malta,987.73,161,2026-06-13,FIFA ranking mirror
Antigua and Barbuda,986.58,162,2026-06-13,FIFA ranking mirror
Grenada,982.57,163,2026-06-13,FIFA ranking mirror
Cuba,981.42,164,2026-06-13,FIFA ranking mirror
Eswatini,979.01,165,2026-06-13,FIFA ranking mirror
Bermuda,976.87,166,2026-06-13,FIFA ranking mirror
St Lucia,976.71,167,2026-06-13,FIFA ranking mirror
Papua New Guinea,974.9,168,2026-06-13,FIFA ranking mirror
Afghanistan,972.75,169,2026-06-13,FIFA ranking mirror
South Sudan,970.94,170,2026-06-13,FIFA ranking mirror
St Vincent and the Grenadines,968.27,171,2026-06-13,FIFA ranking mirror
Maldives,954.93,172,2026-06-13,FIFA ranking mirror
Andorra,945.34,173,2026-06-13,FIFA ranking mirror
Chinese Taipei,923.78,174,2026-06-13,FIFA ranking mirror
Montserrat,916.75,175,2026-06-13,FIFA ranking mirror
Nepal,914.54,176,2026-06-13,FIFA ranking mirror
Cambodia,911.54,177,2026-06-13,FIFA ranking mirror
Mauritius,911.49,178,2026-06-13,FIFA ranking mirror
Barbados,909.89,179,2026-06-13,FIFA ranking mirror
Belize,907.0,180,2026-06-13,FIFA ranking mirror
Bangladesh,899.53,181,2026-06-13,FIFA ranking mirror
Dominica,897.69,182,2026-06-13,FIFA ranking mirror
Chad,896.85,183,2026-06-13,FIFA ranking mirror
Eritrea,887.06,184,2026-06-13,FIFA ranking mirror
Laos,885.03,185,2026-06-13,FIFA ranking mirror
Bhutan,880.55,186,2026-06-13,FIFA ranking mirror
Mongolia,879.75,187,2026-06-13,FIFA ranking mirror
Cook Islands,877.53,188,2026-06-13,FIFA ranking mirror
Aruba,877.3,189,2026-06-13,FIFA ranking mirror
Samoa,876.41,190,2026-06-13,FIFA ranking mirror
Sri Lanka,871.82,191,2026-06-13,FIFA ranking mirror
American Samoa,871.61,192,2026-06-13,FIFA ranking mirror
Brunei Darussalam,863.09,193,2026-06-13,FIFA ranking mirror
Macau,858.03,194,2026-06-13,FIFA ranking mirror
Cayman Islands,855.45,195,2026-06-13,FIFA ranking mirror
São Tomé and Príncipe,855.44,196,2026-06-13,FIFA ranking mirror
Djibouti,853.58,197,2026-06-13,FIFA ranking mirror
Somalia,839.17,198,2026-06-13,FIFA ranking mirror
Tonga,835.64,199,2026-06-13,FIFA ranking mirror
Timor-Leste,825.64,200,2026-06-13,FIFA ranking mirror
Guam,825.43,201,2026-06-13,FIFA ranking mirror
Pakistan,824.6,202,2026-06-13,FIFA ranking mirror
Gibraltar,810.14,203,2026-06-13,FIFA ranking mirror
Seychelles,804.16,204,2026-06-13,FIFA ranking mirror
Turks and Caicos Islands,803.98,205,2026-06-13,FIFA ranking mirror
Liechtenstein,803.57,206,2026-06-13,FIFA ranking mirror
Bahamas,786.82,207,2026-06-13,FIFA ranking mirror
British Virgin Islands,782.14,208,2026-06-13,FIFA ranking mirror
US Virgin Islands,779.76,209,2026-06-13,FIFA ranking mirror
Anguilla,760.25,210,2026-06-13,FIFA ranking mirror
San Marino,726.33,211,2026-06-13,FIFA ranking mirror
