date,team,player,starter,minutes
2018-06-26,Croatia,Duje Ćaleta-Car,True,90.0
2018-06-26,Croatia,Josip Pivarić,True,90.0
2018-06-26,Croatia,Tin Jedvaj,True,90.0
2018-06-26,Croatia,Filip Bradarić,False,25.799999999999997
2018-06-26,Croatia,Lovre Kalinić,True,90.0
2018-06-26,Croatia,Dominik Livaković,False,0.0
2018-06-26,Iceland,Johann Berg Guðmunds­son,True,90.0
2018-06-26,Iceland,Gylfi Þór Sigurðsson,True,90.0
2018-06-26,Iceland,Rúrik Gíslason,False,0.0
2018-06-26,Iceland,Hannes Þór Halldórsson,True,90.0
2018-06-26,Iceland,Björn Bergmann Sigurðarson,False,20.016666666666666
2018-06-26,Iceland,Hörður Björgvin Magnússon,True,90.0
2018-06-26,Iceland,Ari Freyr Skúlason,False,0.0
2018-06-26,Iceland,Kári Árnason,False,0.0
2018-06-26,Iceland,Birkir Már Sævarsson,True,90.0
2018-06-26,Iceland,Birkir Bjarnason,True,87.48333333333332
2018-06-26,Iceland,Ragnar Sigurðsson,True,69.98333333333333
2018-06-26,Iceland,Emil Hallfreðsson,True,90.0
2018-06-26,Iceland,Alfreð Finnbogason,True,84.73333333333333
2018-06-26,Iceland,Aron Einar Gunnarsson,True,90.0
2018-06-26,Iceland,Jón Daði Böðvarsson,False,0.0
2018-06-26,Iceland,Sverrir Ingi Ingason,True,90.0
2018-06-26,Iceland,Arnór Ingvi Traustason,False,0.7833333333333314
2018-06-26,Iceland,Albert Gudmundsson,False,5.266666666666666
2018-06-26,Iceland,Rúnar Alex Rúnarsson,False,0.0
2018-06-26,Iceland,Samúel Kári Friðjónsson,False,0.0
2018-06-26,Iceland,Frederik August Albrecht Schram,False,0.0
2018-06-26,Iceland,Hólmar Örn Eyjólfsson,False,0.0
2018-06-26,Iceland,Ólafur Ingi Skúlason,False,0.0
2018-06-19,Egypt,Mohamed Salah,True,90.0
2018-06-19,Egypt,Ramadan Sobhi Ramadan Ahmed,False,22.683333333333337
2018-06-19,Egypt,Mohamed Naser Elsayed Elneny,True,63.21666666666667
2018-06-19,Egypt,Sam Morsy,False,0.0
2018-06-19,Egypt,Ahmed Elsayed Ali Elsayed Hegazy,True,90.0
2018-06-19,Egypt,Ahmed Fathy Abdel Meneim Ibrahim,True,90.0
2018-06-19,Egypt,Abdalla Mahmoud El Said Bekhit,True,90.0
2018-06-19,Egypt,Marwan Mohsen,True,81.23333333333333
2018-06-19,Egypt,Amr Medhat Warda,False,26.78333333333333
2018-06-19,Egypt,Ali Gabr,True,90.0
2018-06-19,Egypt,Mahmoud Abdul Monem Abdelhamid Soliman,False,8.766666666666666
2018-06-19,Egypt,Mahmoud Ibrahim Hassan,True,67.31666666666666
2018-06-19,Egypt,Tarek Hamed,True,90.0
2018-06-19,Egypt,Mohamed Abdul Shafy Sayed Abouezeid,True,90.0
2018-06-19,Egypt,Mohamed El Sayed Mohamed El Shenawy Gomaa,True,90.0
2018-06-19,Egypt,Essam Kamal Tawfik El Hadary,False,0.0
2018-06-19,Egypt,Ahmed Eissa El Mohamady Abdel Fattah,False,0.0
2018-06-19,Egypt,Omar Gaber,False,0.0
2018-06-19,Egypt,Mahmoud Abdel Razek Fadlallah,False,0.0
2018-06-19,Egypt,Ayman Ashraf,False,0.0
2018-06-19,Egypt,Sherif Ekramy Ahmed,False,0.0
2018-06-19,Egypt,Mahmoud Hamdi Mahmoud Hamouda Attia,False,0.0
2018-06-19,Egypt,Saad Ali Saadeldin Samir,False,0.0
2018-06-19,Russia,Mário Figueira Fernandes,True,90.0
2018-06-19,Russia,Roman Zobnin,True,90.0
2018-06-19,Russia,Igor Akinfeev,True,90.0
2018-06-19,Russia,Sergei Ignashevich,True,90.0
2018-06-19,Russia,Ilya Kutepov,True,90.0
2018-06-19,Russia,Aleksandr Golovin,True,90.0
2018-06-19,Russia,Daler Kuzyaev,False,16.566666666666663
2018-06-19,Russia,Yury Gazinskiy,True,90.0
2018-06-19,Russia,Aleksandr Samedov,True,90.0
2018-06-19,Russia,Denis Cheryshev,True,73.43333333333334
2018-06-19,Russia,Yuri Zhirkov,True,85.15
2018-06-19,Russia,Fyodor Smolov,False,11.666666666666671
2018-06-19,Russia,Artem Dzyuba,True,78.33333333333333
2018-06-19,Russia,Fedor Kudryashov,False,4.849999999999994
2018-06-19,Russia,Igor Smolnikov,False,0.0
2018-06-19,Russia,Aleksey Miranchuk,False,0.0
2018-06-19,Russia,Vladimir Granat,False,0.0
2018-06-19,Russia,Aleksandr Erokhin,False,0.0
2018-06-19,Russia,Anton Miranchuk,False,0.0
2018-06-19,Russia,Andrey Lunev,False,0.0
2018-06-19,Russia,Andrey Semenov,False,0.0
2018-06-19,Russia,Vladimir Gabulov,False,0.0
2018-06-16,Argentina,Ángel Fabián Di María Hernández,True,74.86666666666666
2018-06-16,Argentina,Nicolás Hernán Otamendi,True,90.0
2018-06-16,Argentina,Sergio Leonel Agüero del Castillo,True,90.0
2018-06-16,Argentina,Giovani Lo Celso,False,0.0
2018-06-16,Argentina,Faustino Marcos Alberto Rojo,True,90.0
2018-06-16,Argentina,Wilfredo Daniel Caballero,True,90.0
2018-06-16,Argentina,Cristian David Pavón,False,15.13333333333334
2018-06-16,Argentina,Gonzalo Gerardo Higuaín,False,6.316666666666663
2018-06-16,Argentina,Maximiliano Eduardo Meza,True,83.68333333333334
2018-06-16,Argentina,Lionel Andrés Messi Cuccittini,True,90.0
2018-06-16,Argentina,Éver Maximiliano David Banega,False,36.916666666666664
2018-06-16,Argentina,Javier Alejandro Mascherano,True,90.0
2018-06-16,Argentina,Nicolás Alejandro Tagliafico,True,90.0
2018-06-16,Argentina,Lucas Rodrigo Biglia,True,53.083333333333336
2018-06-16,Argentina,Eduardo Antonio Salvio,True,90.0
2018-06-16,Argentina,Enzo Nicolás Pérez,False,0.0
2018-06-16,Argentina,Gabriel Iván Mercado,False,0.0
2018-06-16,Argentina,Paulo Bruno Exequiel Dybala,False,0.0
2018-06-16,Argentina,Franco Armani,False,0.0
2018-06-16,Argentina,Federico Julián Fazio,False,0.0
2018-06-16,Argentina,Cristian Daniel Ansaldi,False,0.0
2018-06-16,Argentina,Marcos Javier Acuña,False,0.0
2018-06-16,Argentina,Nahuel Ignacio Guzmán Palomeque,False,0.0
2018-06-16,Iceland,Johann Berg Guðmunds­son,True,61.53333333333333
2018-06-16,Iceland,Gylfi Þór Sigurðsson,True,90.0
2018-06-16,Iceland,Rúrik Gíslason,False,27.299999999999997
2018-06-16,Iceland,Hannes Þór Halldórsson,True,90.0
2018-06-16,Iceland,Björn Bergmann Sigurðarson,False,1.8333333333333286
2018-06-16,Iceland,Hörður Björgvin Magnússon,True,90.0
2018-06-16,Iceland,Ari Freyr Skúlason,False,14.5
2018-06-16,Iceland,Kári Árnason,True,90.0
2018-06-16,Iceland,Birkir Már Sævarsson,True,90.0
2018-06-16,Iceland,Birkir Bjarnason,True,90.0
2018-06-16,Iceland,Ragnar Sigurðsson,True,90.0
2018-06-16,Iceland,Emil Hallfreðsson,True,90.0
2018-06-16,Iceland,Alfreð Finnbogason,True,88.16666666666667
