date,team,player,starter,minutes
2018-06-22,Brazil,Willian Borges da Silva,True,45.0
2018-06-22,Brazil,Philippe Coutinho Correia,True,93.41666666666667
2018-06-22,Brazil,Roberto Firmino Barbosa de Oliveira,False,25.80000000000001
2018-06-22,Brazil,Neymar da Silva Santos Junior,True,90.0
2018-06-22,Brazil,Marcos Aoás Corrêa,False,0.0
2018-06-22,Brazil,Carlos Henrique Casimiro,True,93.4
2018-06-22,Brazil,José Paulo Bezzera Maciel Júnior,True,67.61666666666666
2018-06-22,Brazil,Alisson Ramsés Becker,True,90.0
2018-06-22,Brazil,João Miranda de Souza Filho,True,90.0
2018-06-22,Brazil,Marcelo Vieira da Silva Júnior,True,90.0
2018-06-22,Brazil,Renato Soares de Oliveira Augusto,False,0.0
2018-06-22,Brazil,Douglas Costa de Souza,False,45.0
2018-06-22,Brazil,Fágner Conserva Lemos,True,90.0
2018-06-22,Brazil,Filipe Luís Kasmirski,False,0.0
2018-06-22,Brazil,Frederico Rodrigues Santos,False,0.0
2018-06-22,Brazil,Taison Barcellos Freda,False,0.0
2018-06-22,Brazil,Pedro Tonon Geromel,False,0.0
2018-06-22,Brazil,Cássio Ramos,False,0.0
2018-06-22,Costa Rica,Joel Nathaniel Campbell Samuels,False,0.0
2018-06-22,Costa Rica,Celso Borges Mora,True,90.0
