team,player,position,rating,club_minutes_90d,national_caps,available
Albania,Arlind Afrim Ajeti,,96.15384615384616,,3,True
Albania,Berat Djimsiti,,96.15384615384616,,3,True
Albania,Kristjan Asllani,,96.15384615384616,,3,True
Albania,Mario Mitaj,,96.15384615384616,,3,True
Albania,Thomas Strakosha,,96.15384615384616,,3,True
Albania,Ylber Ramadani,,90.38461538461539,,3,True
Albania,Nedim Bajrami,,88.46153846153847,,3,True
Albania,Jasir Asani,,86.53846153846153,,3,True
Albania,Elseid Hysaj,,84.61538461538461,,3,True
Albania,Qazim Laçi,,82.6923076923077,,3,True
Albania,Rey Manaj,,80.76923076923077,,3,True
Albania,Armando Broja,,78.84615384615384,,3,True
Albania,Taulant Sulejmanov,,76.92307692307692,,3,True
Albania,Iván Balliu Campeny,,75.0,,3,True
Albania,Arbër Hoxha,,73.07692307692308,,3,True
Albania,Medon Berisha,,71.15384615384616,,3,True
Albania,Klaus Gjasula,,69.23076923076923,,3,True
Albania,Ernest Muçi,,67.3076923076923,,3,True
Albania,Amir Abrashi,,59.61538461538461,,3,True
Albania,Ardian Ismajli,,59.61538461538461,,3,True
Albania,Elhan Kastrati,,59.61538461538461,,3,True
Albania,Enea Mihaj,,59.61538461538461,,3,True
Albania,Etrit Berisha,,59.61538461538461,,3,True
Albania,Marash Kumbulla,,59.61538461538461,,3,True
Albania,Naser Aliji,,59.61538461538461,,3,True
Albania,Mirlind Daku,,51.92307692307692,,2,True
Algeria,Anthony Louis Mandréa,,99.0,,3,True
Algeria,Aïssa Mandi,,99.0,,3,True
Algeria,Rayan Aït Nouri,,96.0,,3,True
Algeria,Youcef Atal,,94.0,,3,True
Algeria,Baghdad Bounedjah,,92.0,,3,True
Algeria,Riyad Mahrez,,90.0,,3,True
Algeria,Ramiz Larbi Zerrouki,,88.0,,3,True
Algeria,Nabil Bentaleb,,86.0,,3,True
Algeria,Mohamed Youcef Belaïli,,84.0,,3,True
Algeria,Ramy Bensebaini,,82.0,,2,True
Algeria,Fares Chaïbi,,80.0,,3,True
Algeria,Adam Ounas,,78.0,,3,True
Algeria,Mohamed Amine Tougai,,76.0,,3,True
Algeria,Hichem Boudaoui,,74.0,,3,True
Algeria,Houssem Aouar,,72.0,,3,True
